zvp.help						Display the help message
zvp.status						Use status and list command
zvp.update						Update the plugin

zvp.reload						Config reload

zvp.play						Allow the Player to play the game

zvp.command						Allow players to use every command during games

zvp.stop 						Stop one arena
zvp.stop.all					Stop all arenas

zvp.manage.kit					Manage Kit related things
zvp.manage.arena				Manage Arena related things
zvp.manage.lobby				Manage Lobby related things
zvp.manage.sign					manage Sign related things
